class,description
1,MIAMI Frank Gore scored the winning touchdown on a one-yard run with 49 seconds left as third-ranked Miami rallied to beat number-18 Louisville 41-to-38 at the Orange Bowl.
3,"AP - A fuel-efficient, compact spacecraft has made it into lunar orbit, signaling Europe's first successful mission to the moon and putting the inexpensive probe on course to study the lunar surface, officials said Tuesday."
0,President Bush was quick to express solidarity with the Russian people last week after the terrorist attack on a Russian school that left more than 330 dead.
1,"Fred Hale Sr., believed to have been the oldest man on Earth, has died less than a month before his 114th birthday at a DeWitt, NY, nursing home."
1,Inter Milan trainer Roberto Mancini is urging his side to keep the pressure on first place Juventus by continuing to turn their fine form into victories.
3,"Giant pandas may well prefer bamboo to laptops, but wireless technology is helping researchers in China in their efforts to protect the engandered animals living in the remote Wolong Nature Reserve."
2,"Pathmark Stores, which owns 142 supermarkets in the city and throughout the northeast, hired Dresdner Kleinwort Wasserstein to advise it on options, including a possible sale of the company."
2,"MONTREAL: Media tycoon Conrad Black resigned as chairman and CEO of Hollinger, the Canadian holding company for the media empire he built, a company statement said."
2,"Under the \$1.35 billion deal, CSC will provide help-desk, network, security, and telecommunications services at more than 80 Ascension facilities across the country."
0,"The Russian president, Vladimir Putin, refused on Monday to order a public inquiry into last week #39;s siege and massacre at a middle school in the southern town of Beslan "
1,"LONDON, England -- Jose Mourinho #39;s new club Chelsea defeated his old side Porto 3-1 to leave the European champions with an uphill battle to qualify from Group H of the Champions League."
3,IBM is aiming to take a larger share of the \$60 billion data-storage market with the introduction of two new disk-storage servers.
1,"Barcelona, Spain (Sports Network) - Barcelona #39;s Brazilian defender Edmilson will be out for six months after undergoing surgery Monday on his right knee."
1,Ernie Els claimed a record sixth World Match Play title by beating Lee Westwood two and one in a gripping final at Wentworth. The South African world number two celebrated 
0,"North Korea threatened on Saturday to double the size of its nuclear deterrent and the United States rejected its conditions for a resumption of talks, leaving the two nations in a dangerous stalemate."
1,The Indiana Pacers have told law enforcement officials in Michigan that Pacers players will not submit to interviews as part of the investigation into the brawl that 
2,"Consumer prices dropped in July for the first time in eight months as a sharp run up in gasoline costs reversed, the government said."
3,"E-mailing your best pal in Thailand or family in Toledo is cheaper than running up a long-distance phone bill. But even brimming with smiley emoticons, text messages lack a certain personal touch."
2,"Alitalia, the Italian government-run airline and a partner with Delta and Air France in the SkyTeam alliance, told its unions on Monday that it planned to lay off about 5,000 "
3,"Samsung Electronics may process 2,0002,300mm glass substrates at a second seventh-generation (7G) line in the beginning of 2006, according to the South Korea-based Electronic Times, Seoul."
0,"AP - Hundreds of tribesmen gathered Tuesday near the area where suspected al-Qaida-linked militants are holding two Chinese engineers and demanding safe passage to their reputed leader, a former U.S. prisoner from Guantanamo Bay, Cuba, officials and residents said."
3,"AP - Satellites and telephone wires bring the battle for the White House to an Internet cafe 7,200 miles away in Addis Ababa, capital of Ethiopia, where Girma Hagos goes for his daily dose of U.S. election news."
2,"Japanese 10-year bonds fell after the US government said retail sales rose more than expected last month, damping concern demand for Japan #39;s goods will slow."
0,MINNEAPOLIS - Leaders of the union for Northwest Airlines pilots voted unanimously Saturday to endorse a tentative agreement that will cut pilot compensation by \$265 million annually.    The Master Executive Council of the Northwest branch of the Air Line Pilots Association voted 10-0 to submit the two-year deal to union members for their ratification...
2,Congress last night passed legislation extending some of President Bush #39;s most-popular middle-class tax cuts - giving Mr. Bush a win heading into the final campaign stretch before Election Day.
2,"Reuters - Gold broke to new 16-1/4-year highs\above  #36;450.00 an ounce on Thursday, before pausing as players\began to eye the next big target of  #36;455, traders said."
0,"AP - At least seven people were killed and 310 others wounded Friday, reports said, after commandos stormed a school in southern Russia where hundreds had been held hostage for three days by Chechen rebels strapped with explosives."
3,"SEOUL, South Korea - North Korea #39;s forests are depleted, its rivers and streams are filled with runoff from factories and a reliance on coal energy has created severe urban air pollution, the United Nations said Friday in its first report on the communist "
2,"Internet auction firm eBay agrees to buy Rent.com for \$415m (214m), giving it access to more of the online property market."
3,"True, Monday #39;s thunderbolt from Tinseltown may not be enough to settle the DVD format war. But in a synchronized cluster bomb of press releases, the powerful content producers have sent a clear message to "
0,"Canadian Press - CAIRO, Egypt (AP) - An explosion tore through an Egyptian resort hotel Thursday night where Israelis were vacationing at the end of a Jewish holiday, killing at least 30 people and wounding more than 100, officials said."
1,"AP - Larry Brown didn't have much time to enjoy his first NBA title. After coaching the Detroit Pistons to a surprising victory over the Los Angeles Lakers, Brown focused all his energy on getting the U.S. basketball team ready for the Olympics. Much to his dismay, the Americans came home with just a bronze medal."
0,"OISKHARA, Russia - A man tried to bring a suspicious package into a polling station in Chechnya on Sunday, then died in an explosion as he ran away, the head of the Chechen election commission said on Russian television."
3,SAN FRANCISCO -- Web search leader Google Inc. said on Wednesday it will soon make it possible for users of its Gmail service to check their e-mail via Microsoft Outlook or on certain handheld devices such as mobile phones.
1,I dont know any Boston Red Sox diehards who werent rooting almost as fervently for the Minnesota Twins against the New York Yankees as they were for their own team against the Anaheim Angels.
3,"Google has not had anything big for us since it went public some time ago. Now, it is back with some news that could worry biggies like Amazon and Barnes and Noble."
3,"Picking on SCO Group (Nasdaq: SCOX) is really too easy. Unfortunately, it #39;s also necessary, if only as an ongoing cautionary tale for Foolish investors."
0,US warplanes bombarded Fallujah Wednesday as fighting continued intermittently in a Baghdad neighborhood between US forces and Shiite gunmen.
3,"EDS: 'badly designed, badly developed, badly tested, badly implemented'"
0,NEW YORK - U.S. stocks are seen slightly higher at the open but a swathe of economic data is likely to influence overall sentiment and direction...
2,"London - The British Broadcasting Corporation, the world #39;s biggest public broadcaster, is to cut almost a quarter of its 28 000-strong workforce, in the biggest shake-up in its 82-year history, The Times newspaper in London said on Monday."
3,"To some Britons, especially those 50 and older, it #39;s a word forged from  #39;spiced #39; and  #39;ham #39; to represent,  quot;pink, chopped ham and pork rammed into square tins, quot; as the UK #39;s The Guardian story describes it."
2,"Blockbuster Inc., locked in a bidding war for Hollywood Entertainment Corp., announced Wednesday that it may sweeten its offer for the rival video renter."
0,"VIENNA : Europe #39;s three heavyweight states are to give Iran a last chance prove it is not secretly developing atomic weapons, offering valuable nuclear technology as a carrot and possible UN sanctions as the stick."
1,"After watching his offense struggle the last two weeks, Giants coach Tom Coughlin announced Monday he was benching Kurt Warner in favor of rookie Eli Manning."
3,"AFP - Acer Inc., Taiwan's top personal computer maker, said its net profit for the first three quarters to September fell 34.8 percent to 3.83 billion Taiwan dollars (114 million US)."
3,"Demandware service designed to help midsize firms open shop online as fast as with a hosted service, but with more customization."
0,"MARK Thatcher #39;s wife, Diane, is planning to begin a new life in the US and leave her husband to face the coup scandal alone in South Africa."
0,"Reuters - A China Eastern commuter plane crashed\into a frozen lake seconds after takeoff in Inner Mongolia on\Sunday, killing 53 people on board and one on the ground, the\airline and state media said."
3,"&lt;strong&gt;Update&lt;/strong&gt; M2000 same as XDA IIs, VPA III, MDA III"
1,"(Sports Network) - A possible National League Division Series preview will take center stage this evening in St. Louis, as the MLB-best Cardinals host the Los Angeles Dodgers for the opener of a their three-game set at Busch Stadium."
0,The Palestinians have decided not to bring a draft resolution condemning Israel #39;s military operation in the northern Gaza 
0,"&lt;p&gt;&lt;/p&gt;&lt;p&gt; By Michael Christie&lt;/p&gt;&lt;p&gt; MIAMI (Reuters) - The most powerful drug lord everextradited by Colombia appeared before a U.S. judge on Monday,and his lawyer said he would fight U.S. charges that he ran hismultibillion-dollar business from a Colombian jail cell.&lt;/p&gt;"
1,"The wide receivers have been the most significant contributors to the Patriots stats, news #39; inactive list this season. Every week quarterback Tom Brady news counts on one of "
3,"America Online Inc. said Thursday it had filed a federal lawsuit accusing numerous unnamed defendants of violating federal and state laws by sending bulk messages known as ""spim"" to instant message accounts and Internet chat rooms."
3,The US Fish and Wildlife Service has delayed the adoption of a plan designed to protect Florida panthers from encroaching development.
2,CRUSADING New York Attorney General Eliot Spitzer is turning his attention to pension consultants as part of his attack on the insurance industry.
1,"There will be police escorts and protection for the Chicago White Sox team buses during their series against the Royals. Kevin Hallinan, Major League Baseball #39;s vice "
0,"Human rights activists on Wednesday condemned the detention of a Hong Kong pro-democracy politician for allegedly having sex with a prostitute, and his sentencing without trial to six months of  quot;re-education through labor. quot; ..."
3,"washingtonpost.com - Cell phone shoppers looking for new deals and features didn't find them yesterday, a day after Sprint Corp. and Nextel Communications Inc. announced a merger that the phone companies promised would shake up the wireless business."
1,"AP - Salim Stoudamire had 15 of his 18 points in the second half, helping No. 14 Arizona turn a close game into a 97-79 rout of Arizona State in their Pac-10 opener Sunday."
1,In many Olympics competitions winners and losers are determined by less than a fraction of a point and even the slightest error in scoring can set back an athlete from the gold to the bronze.
2,"Mumbai, Aug. 23. (PTI): Revising the outlook on India #39;s long-term foreign currency and local currency ratings, Standard  amp; Poor #39;s Ratings Services today warned that the local currency rating could be lowered "
2,"High oil prices, which have een a factor in virtually all US recessions over the past three decades, are surging again this year. And the higher crude oil prices climb, the more risk energy "
1,"The Connecticut Sun spoiled Sue Bird #39;s return Sunday and pulled into first place in the process. Bird had nine points, seven assists and five rebounds in front of her former hometown "
2,One murder case has attracted special attention amid a debate over the safety of antidepressant use in children and teenagers.
3,TheDeal.com - The European Commission is likely to follow opinion in the U.S. on the merger suit.
3,"When technicians examined the PCs of 329 respondents, they found 80 percent loaded with dozens of spyware programs that track the user #39;s browsing habits."
0,"In promoting the disengagement plan, that confrontational man, Prime Minister Ariel Sharon, has already caused great suffering, anger and destruction - just look at the tremendous commotion already happening."
3,Electronic Data Systems Corp. and Microsoft Corp. were blamed by the United Kingdom #39;s pension and benefits agency for a computer crash that snarled payments across Britain.
3,By MARK STEVENSON      MEXICO CITY (AP) -- Mexican authorities are investigating the sale of fake or substandard medicine in a border town so popular among Americans seeking cheap medications that it has more pharmacies than streets.    U.S...
2,Italy #39;s troubled Alitalia airline has reached a deal with eight of nine unions to split the state-controlled firm in two in a plan to stave off bankruptcy.
1,"While a swap had not yet been consummated Monday evening, there is mounting circumstantial evidence that Oakland Raiders wide receiver Jerry Rice will be dealt to the Seattle Seahawks before the league #39;s Tuesday trade deadline."
3,Hardware expected to begin selling next year is designed to make it faster and more efficient to run Java programs.
2,A federal jury awarded \$400 million in punitive damages Wednesday to a doctor who accused a medical technology company of infringing on his patents for a surgical device to treat spinal injuries.
3,"U.S. authorities working in an international investigation have shut down 20 independent news Web sites run by the Independent Media Center by seizing two U.K.-based Web servers, the group said."
2,"American International Group, Inc. reported that AIG Financial Products Corp., a subsidiary, has reached an \$80 million settlement with the Department of Justice concerning charges that stemmed from structured "
1,CBC SPORTS ONLINE - The Anaheim Angels suspended outfielder Jose Guillen for the rest of the season without pay Sunday following an outburst during a game the previous night.
1,"Top-seeded Andre Agassi beat Spain #39;s Fernando Verdasco 7-6 (4), 6-2 yesterday to reach the Stockholm Open semifinals for the first time."
2,Houston-based Anadarko Petroleum Corp. has agreed to sell its Gulf of Mexico shelf properties in two deals that total \$1.312 billion. 
2,The proposed merger of Sprint and Nextel Communications could face a rocky start as the companies work to run and eventually merge two wireless technologies without breaking the bank or losing customers.
2,"ATA Airlines Inc. #39;s cash crunch has worsened since August, the Indianapolis carrier #39;s owner warned investors today, raising concerns among analysts that a bankruptcy protection filing may be near."
3,"NEW YORK  Just when it seemed that reality television was set to take over the dial, scripted shows have come roaring back - at least for now."
3,"US spending on information technology goods, services, and staff will grow seven percent in 2005 and continue at a similar pace through 2008, according to a study released Monday by Forrester Research."
2,General Motors Corp. and Ford Motor Co. on Wednesday posted weaker US vehicle sales for October due to fewer blow-out incentives as inventories of older model 2004 vehicles declined.
1,"Cardiffs Millennium Stadium will host this seasons FA Cup semi-finals as well as the final. It will be the first time the venue has hosted the semi-finals, with Old Trafford and Villa Park having been favoured in recent years."
2,AMD HAS failed in its most recent attempt to force Intel to disclose documents relating to an antitrust investigation to European Commission investigators.
3,"For Australians, the  quot;Dish quot; as they like to call the giant antennae of the Parkes radio telescope is nearly as well known as the Sydney Opera House."
0,"The U.S. Marines are preparing for a ""decisive"" battle in the Sunni Triangle area west of Baghdad, where insurgents are extending control outward from Fallujah through violence and intimidation, senior commanders said Friday."
1," COMMACK, New York (Reuters) - Former world number one  Lleyton Hewitt hammered out a warning to his rivals for next  week's U.S. Open as he demolished Peru's Luis Horna 6-3, 6-1,  to win the Long Island Cup on Sunday."
3,"Reuters - U.S. chip maker Advanced Micro Devices\ has unveiled a low-cost Internet access device that\could cost just a few hundred dollars, aimed at first-time\technology users in the developing world."
0," quot;DON #39;T have a reaction, I #39;ll leave it to the analysts, quot; responded US State Department official Adam Ereli to questions about the significance of reports that North Korea #39;s media had stopped calling Kim Jong-il  quot;Dear Leader quot;."
2,J Sainsbury Plc Chief Executive Justin King will cut one quarter of the company #39;s headquarters workforce and halve the dividend as he seeks to revive profit and regain customers lost to Tesco Plc and Wal-Mart Stores Inc.
3,"AP - Here's a dinosaur finding that parents can appreciate: The teenage Tyrannosaurus rex typically went through an explosive growth spurt, gaining nearly 5 pounds a day."
2,"Reuters - U.S. insurers on Monday predicted that\Hurricane Charley could be the most costly U.S. storm since\Andrew in 1992, with Florida officials initially estimating\economic losses at  #36;15 billion."
3,Latest incarnation of Sony's robot hound is a four-legged MP3 player. It'll also fetch pictures while you're away.
3,The software juggernaut that conquered the desktop is racing to get Windows into your next car.
0,The United Nations says fighting and other strife is preventing aid workers from reaching 100-thousand people in Darfur who need help.
3,"TOKYO - Sony Computer Entertainment Inc entered the handheld video game market Sunday with the sale of its new PlayStation Portable, pitting it against competitors ahead of the holiday sales period."
2,The Securities and Exchange Commission has ordered Fannie Mae to restate its earnings for the last four years after concluding that it had violated accounting rules.
2," TOKYO (Reuters) - Japan's Nikkei average rose 0.67 percent  at the opening on Monday after crude oil dropped back from  record highs above \$49 a barrel, encouraging some investors to  return to the Tokyo stock market in search of bargains."
3,"Web sites promising to find the best travel deals have online travel agents wondering if they have a new friend or enemy. For consumers, however, choices are rising "
2,The Home Depot Inc. reported a nearly 19 percent jump in second-quarter profit on record sales as it benefited from strong performance in stores open at least a year. It also raised its earnings outlook for the year.
2,he pilots #39; union at Delta Air Lines said last night that an  quot;unusually high quot; number of pilots planned to retire early in October because of concerns about the airline #39;s deteriorating financial situation.
3,"LOS ANGELES - This June a barrage of spam popped up in 152,000 in-boxes. They pitched the standard stuff: One was an advertisement for the  quot;Top Drug Store Online, quot; another offered mortgage refinancing, another "
1,"Meyers, who was inducted into the Basketball Hall of Fame in 2003, broadcasts WNBA and women #39;s NCAA games for ABC and ESPN. She has also been a regular Blog Squad contributor to WNBA."
2,"Reuters - NYMEX crude oil futures jumped 36\cents in electronic trading on Monday evening to the\psychological  #36;50 a barrel level, the highest in the 21 years\oil futures have traded on the exchange, as Nigerian rebels\decided an ""all-out"" war against the government starting Oct.\1."
2,The trial of a lawsuit by Walt Disney Co. shareholders who accuse the board of directors of rubberstamping a deal to hire Michael Ovitz 
3,"Steve Ballmer said he, too, is among the most spammed people in the world because he gives out his e-mail address in nearly every speech he makes."
3,"Aiming to put itself in the vanguard of the Internet travel business, America Online will invest an undisclosed amount in an upstart that threatens to lure customers away from the industry's most dominant players, such as Orbitz, Expedia and Travelocity."
1,"St. Louis, MO (Sports Network) - Jim Edmonds homered and delivered the go- ahead run in the eighth inning on a sacrifice fly, leading the St."
1,"AFP - Utah Jazz point guard Raul Lopez, a Spaniard who has missed the past two months while battling torn right knee ligaments, was activated by the National Basketball Association club."
2,A flurry of corporate updates failed to inspire investors today as the FTSE 100 Index slipped back towards the 4700 barrier. Catering group Compass and Rentokil 
1,"Former Pro Bowl receiver Andre Rison was given the option of paying \$10,000 to get out of jail after spending almost a month locked up for failing to pay child support."
2,"SAN FRANCISCO (AFX) -- American Express said Monday that in light of the Supreme Court #39;s decision against Visa and MasterCard, it will seek partnerships with US banks."
0,"Iran is demanding the right to operate uranium enrichment equipment, despite its agreement with the Europeans."
2,"President Bush announced Monday the nomination of Kellogg Co. Chairman and CEO Carlos Gutierrez to be secretary of Commerce, calling him  quot;an experienced manager and an innovative "
1,"Tour of Spain favourite Roberto Heras lost ground as Spanish compatriot Jose Gutierrez came home alone to win the penultimate stage, a 178-km stretch ending at the summit of Puerto de Navacerrada."
2,Months of legal woes and executive shuffling came to a resolution of sorts last week for Computer Associates. Federal prosecutors indicted former CEO Sanjay Kumar for back-dating contracts 
3,"NEW YORK With one Mars rover climbing into the hills and the other descending deep into a crater, scientists reported the discovery of several mysterious rock structures, along with yet more signs that Mars was once awash in water."
3,"With an eye towards making mobile devices and the commerce services that run over them more secure, NTT DoCoMo Inc., Intel Corp. and IBM Corp. on Wednesday published a jointly developed security specification called the Trusted Mobile Platform."
2,"Charterhouse has beaten off competition from another private equity player to buy Saga, the company that provides services to the over-50s, for 1."
1,"TORONTO (CP) - Maple Leafs goaltender Ed Belfour is expected to make a complete recovery following back surgery Thursday, says GM John Ferguson."
2,DaimlerChrysler AG said Thursday it had been notified that it was under investigation by the US Securities and Exchange Commission over alleged violations of a federal anti-bribery statute after a fired employee complained to labor officials.
2,"(CBS/AP) The Labor Department said Friday that employers #39; payrolls increased by 96,000 overall in September while the unemployment rate held steady at 5.4 percent."
0,"MOSCOW, October 29 (Itar-Tass) -- The mass media must be invariably aware of their responsibility while covering terrorist attacks, FSB federal security service director Nikolai Patrushev told the State Duma on Friday."
3,"NOVEMBER 17, 2004 (COMPUTERWORLD) - Four small Linux vendors have joined together to create a new Linux Standard Base 2.0-compliant binary set that they hope will attract independent software vendors and hardware makers to port their wares to the new code "
1,The taekwondo Olympic competition degenerated into chaos Saturday when irate Azerbaijan coaching staff stormed the fighting area in ugly scenes which overshadowed US and Chinese gold medals.
1,AP - NASCAR will use a shortened weekend schedule for the Nextel Cup series at most of its events next season in an effort to save money for teams.
3,"LOS ANGELES: The recording industry has turned to its former arch-nemesis, the founder of online music file-swapping service Napster, to help it beat the piracy that it once accused him of spawning."
3,"The Recording Industry Association of America has wielded a heavy legal arsenal in its war against illegal music downloads, including filing another round of lawsuits on Thursday - this time against 762 people."
1,"It is early in the season for a decisive match, yet Inter Milan-Juventus on Sunday is shaping up as exactly that. Serie A leader Juventus stands 15 points ahead of Inter, but both teams see the meeting as key to their season."
2," WASHINGTON (Reuters) - The U.S. Supreme Court opened its  new term on Monday, with two hours of arguments on federal  sentencing rules and the rejection of some 1,800 appeals,  including a challenge by telemarketers to the government's  popular do-not-call list."
1,"Reuters - The Arizona Diamondbacks\have signed shortstop Craig Counsell, who has played for two\World Series championship teams."
1,Six-time Tour de France champion Lance Armstrong will decide in May whether he will return to defend his title in 2005.
3,"Links to this week's topics from search engine forums across the web: SEMPO Next Steps   Mike Grehan's Second SEMPO Article - Overture Bidding Cap - PPC Question for Merchants - SEO Firm Ordered to Refund Fees, Pay Fine - Tracking Past Links   Traffic? - Google Settles Overture Patent Dispute - Advice on Site Structure"
0,British Black Watch troops are blocking a key bridge on the River Euphrates in the regiment #39;s biggest mission since it was redeployed to Iraq.
0,"Reuters - U.S. Marines lobbed mortar rounds\at rebels in Falluja Saturday during a five-day-old assault\that has caused a ""catastrophe"" for civilians there and fueled\a revolt in Iraq's northern city of Mosul."
3,Kern County -- The first privately funded rocket to reach space completed the first half of a \$10 million flight competition Wednesday by soaring to an altitude of 64 miles -- but only after enduring a white-knuckle series of barrel rolls.
2,"The head of Lazard LLC is asking partners to take a one-third pay cut as the investment bank readies for an initial public offering, according to a report published Friday."
1,ENGLAND #39;S troubled build-up to their Wales showdown continued yesterday with Steven Gerrard #39;s injury diagnosis and fresh uncertainty over Sven-Goran Eriksson #39;s position.
2," ATLANTA (Reuters) - Lowe's Cos. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=LOW.N target=/stocks/quickinfo/fullquote""&gt;LOW.N&lt;/A&gt;, the world's second  largest home improvement retailer, on Monday reported an 18  percent increase in second-quarter net income and said earnings  for the rest of the year would top analysts' estimates."
0,PARIS Two Muslim girls who refuse to remove their head scarves in school are being expelled for violating a law banning religious symbols from schools.
2,The Dutch government is taking control of its country #39;s gas transport network in a deal that analysts said will boost competition in the Netherlands and ease the way for the creation of a single European gas market.
1,"The Liverpool striker is on a season-long loan deal at the Reebok Stadium from Liverpool, yet is currently at the centre of a spitting controversy involving Arjen De Zeeuw."
1,"Freshman Chad Henne, not Matt Gutierrez, leads No. 8-ranked Michigan to a 43-10 triumph over Miami (Ohio) with two touchdowns passes on Saturday."
3,"In two joint press releases, Sony Corporation, Sony Computer Entertainment Inc., Toshiba, and IBM, have today announced the creation of the prototype CELL processor, which is currently being developed in Austin Texas."
1,AP - Chelsea routed Charlton 4-0 on Saturday behind two goals by defender John Terry to open a five-point lead at the top of the Premier League.
3,"Young people are increasingly happy to buy pirated goods or illegal download content from the net, a survey shows."
3,"Wal-Mart Stores Inc. launched an online music store that works with Microsoft Corp. #39;s Windows Media Player, the world #39;s largest retailer said on Thursday."
1,"NORMAN, Okla. -- Jason White threw for 383 yards and three touchdowns to help No. 2 Oklahoma rout Nebraska, 30-3, last night."
3,"Red Hat Inc. on Saturday warned users of an e-mail scam designed to plant malicious code on users #39; systems. The malicious e-mail poses as a security update from the vendor, a technique "
3,"International Business Machines Corp., taken to court by workers over changes it made to its traditional pension plan, has decided to stop offering any such plan to new employees."
1,United States sprinter Jerome Young was banned for life by the US Anti-Doping Agency yesterday following his second positive test for an illegal steroid in a case that could affect a US relay team #39;s gold medal from Sydney.
1,"With one last attempt to win gold, Adam Nelson is called for his fifth consecutive foul, leaving him with a silver medal Wednesday."
0,"ISLAMABAD : India and Pakistan will Tuesday thrash out an agreement to give each other notice of their ballistic missile tests, but analysts say the rivals are still far from being responsible nuclear powers."
2,"SMITHFIELD, Va. Meat processor Smithfield Foods says its income more than doubled in the most recent quarter. The company cites improved profitability in the hog production segment, combined with strong results "
1,"Once the Ryder Cup matches begin Friday at Oakland Hills Country Club, the ideals of sportsmanship and civility will be more difficult to achieve than they are to talk about."
1,Lindsay Whalen made the most of the biggest game of her professional career. The rookie guard led the Connecticut Sun to a 68-64 victory over the Seattle Storm last night in the opening game of the WNBA Finals.
1,"AP - Baseball owners took another step toward moving the Montreal Expos to Washington next year, giving conditional approval Friday but hinging their decision on the September agreement that did not cap the cost of a new ballpark."
3,"AP - Former Computer Associates International Inc. chairman and chief executive Sanjay Kumar has been charged with securities fraud, conspiracy and obstruction of justice in connection with a multibillion dollar accounting scandal at the software company."
2,"The president of the Organization of Petroleum Exporting Countries, Purnomo Yusgiantoro, said global political uncertainties and concerns likely account for US\$10 to \$15 per barrel, or up to one third, of current world oil prices."
0,"Opposition leader Viktor Yushchenko pursues a vote in parliament, as the crisis in Ukraine continues."
2,"Expeditors International posts strong results, but the jaw droppers are in its 8-K."
1,Manchester City chairman John Wardle says they will only sell winger Shaun Wright-Phillips for  quot;silly money quot;. He said:  quot;I have no intention of selling Shaun Wright-Phillips.
0,"BAGHDAD, Nov 2 - A car bomb exploded Tuesday in the busy commercial district of Azamiyah in northern Baghdad, causing casualties, the Interior Ministry said."
1,"GLYFADA, Greece - When the first notes of the national anthem of Israel pierced the night air, years of yearning came pouring out of Israelis at the Olympic Sailing Centre."
0,"THE public still did not appreciate how frighteningly dangerous crocodiles were, even after the fatal mauling of a German tourist two years ago, a coroner said today."
3,"Reuters - Price declines for U.S. consumer\electronics accelerated in August, fueled by discounted price\cuts for the popular iPod digital music player and traditional\DVD players, according to an industry study prepared for\Reuters."
3,Open-source software maker releases big update to Java-based application server program.
3,"The need to test packaged applications on virtualised systems could hold up the deployment of server virtualisation software, according to attendees at Gartner #39;s datacentre conference in Las Vegas this week."
1,QUEENSLANDER Rod Pampling made four birdies on the front nine to grab the outright lead in the second round of the Australian Open in Sydney.
0,"Two Marines killed, three wounded by insurgents during house-clearing in Fallujah."
3,"Mobile phone giant Vodafone says it will introduce 10 new 3G handsets, many of which will be useable in both Europe and Japan."
1,Australia are backing England to go on to win the ICC Champions Trophy after losing their one-day stranglehold over their arch rivals yesterday.
0," The FBI searched offices of a prominent public relations firm Tuesday, looking for information about its client Saudi Arabia, law enforcement sources said."
3,"You can strap it around your arms or wind it around your neck while on your morning jog. And while you jog, you can listen to songs, download and store your personal CD albums directly, listen to FM radio "
0,"DAMASCUS, Dec 13 (AFP) - A car belonging to a Palestinian exploded in a residential district of Damascus on Monday, in what the Syrian authorities said was an  quot;act of sabotage."
3,"Reuters - A leading environmental group called\Friday for protection for the great white shark and humphead\wrasse coral fish, whose numbers have plunged because of\overfishing and China's growing appetite for exotic foods."
2, NEW YORK (Reuters) - U.S. stocks pointed to a slightly  higher open on Monday as investors seek bargains and oil prices  stay below last week's record high of nearly \$50 a barrel.
1,All right. Here are the things a starting pitcher would rather do than face the St. Louis Cardinals lineup: Go out in public wearing that wig Tom Sizemore used to portray Pete Rose in  quot;Hustle.
2,"Qwest Communications International Inc. has tentatively agreed to pay \$250 million to settle fraud allegations by federal regulators, a union official said Friday - a move that could help lift a cloud that "
2,The Royal Mail #39;s proud boast that it is making 1m a day profit will come as little consolation to those who feel the service is still poor.
3,roundup Plus: IBM chalks up two health care wins...Vonage users dial 311 for city info...Mozilla makes Japanese push...Macromedia offers Flash video tool.
1,"AP - Although the Southern California desert is a long way  #151; and drastically different  #151; from her native South Korea, Grace Park feels at home among the sand and the cacti."
1,"Sonoma, CA (Sports Network) - Tom Kite carded a two-under 70 Friday to remain atop the leaderboard through two rounds of the Champions Tour #39;s season-ending Charles Schwab Cup Championship."
2,There was a time when the low-carbohydrate Atkins and South Beach diets were sending tsunamis through the financial world. Riding swelling demand up was MGP Ingredients (Nasdaq: MGPI) -- formerly 
2,"NEW YORK (CBS.MW) -- It sure isn #39;t the Goldilocks Economy of yesteryear -- you know, not too hot, not too cold, but just right."
0,KATHMANDU - Food and supplies are rolling into Kathmandu again after Maoist rebels lift a week-long blockade that demonstrated their growing power in the impoverished Himalayan kingdom.
2,"Toyota Motor and Chinese partner Guangzhou Automobile reportedly will invest 3.8 billion yuan (\$US459 million) to build a new plant in China, with an annual production capacity of 100,000 vehicles."
2,"Bankrupt cable operator Adelphia Communications Corp (ADELQ.PK: Quote, Profile, Research) will allow cable companies Time Warner Inc."
3,"The Apache Software Foundation, which now relies on volunteers to stay in operation, may soon have full-time, paid employees, including an executive director."
2,"After being outmaneuvered by aggressive competitors at the start of the holiday shopping season, Wal-Mart Stores (WMT ) is returning fire."
1,"Subaru team leader Petter Solberg has won the Rally Italia Sardinia today Sunday, dominating the event from the outset, and eventually taking the honours by 2 minutes 7.9 seconds."
0," CHAGMALAI, Pakistan (Reuters) - Islamic militants holding  two Chinese engineers hostage in Pakistan threatened to kill  one on Monday unless security forces ended a siege of their  hideout, a tactic the interior minister said had echoes of  Iraq."
0,"President Jacques Chirac and Chancellor Gerhard Schroeder will discuss Turkey #39;s EU membership bid on Tuesday as strong advocates of entry talks, but analysts say questions remain on their stance due to domestic opposition."
3,"OCTOBER 25, 2004 (IDG NEWS SERVICE) - IBM today introduced a security service that offers a concise, monthly global-network threat report designed to help organizations assess security needs and vulnerabilities from a business perspective."
0,The leaders of India and Pakistan are heading to the US this week for their first face-to-face meeting. They will meet on the sidelines of the United Nations General Assembly.
3,"NASA #39;s Mars rover Opportunity found evidence for a lake or sea on Mars, and new research suggests the body of water was deep, large and long-lasting."
2,"Reuters - MCI Inc. (MCIP.O) has offered to pay\states from 2 cents to 30 cents on the dollar to settle charges\it owes them as much as  #36;2 billion in back taxes, people\familiar with the matter said on Thursday."
1,"Yolanda Griffith picked the perfect time for her best game of the season. Griffith scored a season-high 23 points, helping the Sacramento Monarchs defeat the Houston Comets 68-48 Saturday "
0," BUDAPEST (Reuters) - Hungary on Wednesday ordered food  retailers to withdraw all products containing paprika, the  fiery red spice that is an essential ingredient in the  Hungarian national dish, goulash."
