Score,Text
0,"I've been ordering Justin's from Amazon for well over a year now and the past month I've gotten bad batches of Honey and Maple Sugar Almond butter. It taste like the almonds are burnt, and the color of it is brownish red, much darker than normal. Kind of like comparing the outer skin of an almond and the inner nut colors. Best Buy dates are 3/8/12. Be on the lookout. I sent my product back to Justin's to check out."
4,"Beans are quite dark; a good coffee taste, not a huge bold flavor but somewhere in the middle of flavors. Also not as acidic as some."
2,"Took way to long to arrive from the seller, and it wasn't the real good quality basmati rice. The grains after being cooked, really don't separate that well."
4,"Amazon had this as buy one get one free and since it was my favorite, I could not resist.  Great purchase."
2,Ido not see much differant than regular oats.little longer to cook.I eat it every morning.I bought it for gluten free.
1,"I love earl grey tea, however this earl grey is not to my taste.  I didn't grow up in the USA and there is a real difference to American earl grey.  If you like starbucks or republic of tea earl grey then you will love this tea.  If you like a darker, less flavoured earl grey then I suggest you pass on this one.  Right now I am blending it 50/50 with a straight Assam and it is drinkable."
0,"They advertise that they contain 'no aspartame in diet flavors' and boldly state 'no high fructose corn syrup', but the regular flavors contain sucralose artificial sweetners making it taste awful. No disclaimer on the front of the bottle. How can they legally NOT call it DIET if it has artificial sweetners? Anyway, unless you like and can drink diet drinks you will not like 'regular' flavors either."
3,"This Starbucks House Blend K-Cup is a bolder coffee than expected that tastes every bit as good as the in-store brew. We typically drink the much more affordable <a href=""http://www.amazon.com/gp/product/B0029XDZIK"">Donut Shop K-Cup packs for Keurig Brewers (Pack of 50)</a>, but occasionally like to try other types. This Starbucks coffee is a little better tasting but it is a too expensive when drinking 4-5 cups a day.<br /><br />Recommended for the flavor (4 stars) but not at the retail price (3 stars).<br /><br />CFH"
4,"First off, I have to say that the salt& pepper and barbeque flavors are the way to go. SO GOOD. Really, I just like that these are crunchy, salty and yummy. They're an easy addition to my lunch when I need some extra snack items and want something to look forward to during the work day. I wouldn't call them filling but they're good to tide me over for an hour until lunch or I get home to start dinner - I do run a lot though so maybe that's why."
3,I have enjoyed using this product. It is as advertized and seems to be the perfect quantity for a beginners usage.
1,"You know that moment right when you open a new coffee bag where you've just gotta stick your nose in and inhale? Well when you do that with a bag of Eight Oclock Coffee, it's a little bit unpleasant. That fresh sharp but sweet aroma is missing. But I mix this 50/50 with another kind of bean I prefer to save a few bucks and I'll give these Eight Oclock beans credit for not ruining the taste of my final product as most other cheaper coffees do. It's not awful, especially if fortified with some more flavorful beans. On its own this is a fairly bland roast with no personality and perhaps if you make it as strong as I do you may also find it a bit unpleasant."
4,"You are what you eat, this also applies to your pets too. If you are a healthy eating individual, do the same for your pet and give them healthy food that are good for their body.<br /><br />There are many choices of dog food out there, and about half of them are as healthy as your local fast food restaurants. Grocery brands (what you find at __mart and supermarkets) are the aforementioned. Castor & Pullux is NOT one of them.<br /><br />C & P makes great dog food that a dog's unique body chemistry needs and will actually be absorbed, not crappy filler ingredients that is just gonna slide through and out the other end. Dogs need protein and water mainly. They have little to no use for corn, starch, rice, or random blended animal parts and the likes. With C & P, you know exactly what your dog is eating. This puppy mix even comes with real fruit bits!<br /><br />Just remember, fillers will only make them full but is not what they need. The more fillers they eat, the more comes out the other end. You get what you pay for."
4,"I wasn't sure what pumpkin spice latte would taste like, but wow am I impressed.  This is delicious.  It smells wonderful, has a great foam (as any good latte should), and has the perfect balance of spices.  It's like having autumn in a cup.  I searched several local stores for this flavor without any luck.  I'll be ordering more from Amazon then.  I also want the try the peppermint flavor now."
4,"In my opinion, St. Dalfour is the best brand of tea.  I love that it is organic.  Their English Breakfast tea makes excellent iced tea."
1,"Imagine yourself craving coffee. But you're on... a big ferry boat. With a single coffee vending machine. The kind that you wouldn't venture near if you had any choice in the matter. But you need a hot beverage, or the caffiene, or something warm to hold, whatever. So you bite. The paper cup shoots out of some recess in the machine, and a close approximation of coffee pours into said cup, with the familiar, but suspect aroma of vanilla in the air. Then you taste it - and yup, it's exactly as vending machine icky as you hoped it wouldn't be. You taste the artificial, and you learn to settle for it. Because you're stuck on a boat.<br /><br />Well, Grove Square Capuccino Cups, French Vanilla - are just a little better than that. A smidgen better, not much more.<br /><br />So if you aren't stuck on a ferry boat (or train station, or gas station, or local DMV waiting area or someplace equally dismal), and if you actually do have a choice, I would urge you to at least try before you buy. So you aren't stuck with 23 k-cups that make you cringe :)"
4,"The large cans are 8 cents an ounce MORE than the small ones.<br /><br />It's a great product.  It's definately in the top 10% of canned foods in terms of quality, most cats like it (there is no food all cats like), and this is a reasonably affordable way to mix some duck into the rotation rather than just feeding turkey and chicken over and over.<br /><br />But there's just no reason to mess with big cans when the smaller ones are so much cheaper by the ounce.  The little ones are more flexible and for most people you won't have to put leftovers in the fridge.<br /><br />If your particular feeding schedule makes these convenient for you...ignore me :)  I'm just talking about most people."
4,This is a very good brand of Tahina use in my hummus.  Order come in very quick.  Like is said before great Tahina good place to order from.<br /><br />bbuckle  Bell Buckle TN
0,"These Anchovies are terrible. They are mushy. More like a paste than a filet. We threw the 2nd can away, had them too long to return them to Amazon."
3,This is a great hot cocoa as long as you read the box and only use the 8oz setting on your coffee make. Otherwise it will taste watered down. Also it is an instant coffee so dont be surprised by it.
1,This is a mixed revue. We have purchased this same coffee in the past and enjoyed it. This time we are less than enthusiastic. The first bag was so bad I almost called to return the shipment. The second bag is better but not really all that good. My wife is more critical than I am and finds the coffee weak and tasteless. I have tried increasing the amount used with little change in flavor. I have even used bottled spring water with no difference noted.<br /><br />Money wise this is a pretty good bargain; but based on the lack of quality we will not make another purchase of Pear's Columbian Supremo Decaf.
4,This product controls your appetite and tastes delicious.  Great flavor makes drinking water enjoyable.
4,We have been buying this coffee for the past 4 months and love it...especially now that we can get it at a lower price and free shipping....We like this flavor the best...
2,I have used this a couple of times and it is just okay. The taste is fine and all of that. I just wasn't in love with it. I'll use it a couple of more times to see if it grows on me.
4,"These are great! My sister ordered some GFCF chocolate online for her son for Easter and when it didn't arrive in time, I was forced to find an alternative so he could have the same kind of Easter as his brothers. I found these chips and some Easter bunny and egg molds and made my own chocolates. They melt great and you would never know they were GFCF! They're a hit !"
4,My puppy loved these treats. They were just the right size for her. They have just enough rawhide to keep my puppy entertained and happy without having too much to be bad for her. They did not upset her stomach as some of the other reviewers have stated. I also gave them to my moms two dogs and they didn't have any stomach problems with them either. Every dog is different so what works for my puppy may not work for yours. Just try these treats and I hope your dogs is just as happy with them as mine was.
2,"I drink my coffee black and like some flavor now and then, but with this I need to add cream and sugar to enjoy it.  But, when I do add creamer, it is very nice."
4,"I actually feel bad when I think how much I paid for these at the vets!  The mark-up there was ridiculous, but these were a great treat for cleaning the cats treats that has proven some results (very little tartar build up) that the cats absolutely ADORE.  One of the cats act as if this is a kitty drug or something when I break out these treats, she loves them so much.  It's never a problem to get them to eat these treats, and now it's not a problem to give them once a day to help keep their teeth clean when the price is much more reasonable than what you'll find at the vets. If your cats are not a fan of brushing, definitely look into these - even if you can brush their teeth, these will help with their dental care and are a decent snack as well."
4,"Sleepytime tea is one of those teas that can always be counted on. It's very mellow, with a great taste and smell. Perfect for relaxing after a long day. This is the tea that all other herbal teas should be measured against."
4,"the dogs love them and i love them.  we have 5 dogs ranging from 40 - 86 pounds.  we had a 20 pounder who liked similar treats as well... what i'm trying to say is that the dogs (of various sizes and types) teeth and digestive systems like these treats.  we've had no problems. i like them because the dogs take one and lay somewhere to actually chew. the larger dogs too... it's not like a quick snack that they gobble and swallow. aand... not that i'm against china but that scare on meat products from china in dog snacks gave me a scare so these are made in the u.s. and i got the peanut butter ones anyways... after all, they're a treat for the pups and don't get much peanut butter any other way..."
4,"We've tried just about all varieties of baby food made by Earth's Best, and this variety pack is one of our favorites.  Each of the meals is a nice combination of veggies and protein.  Our 10-month-old particularly enjoys the Sweet Pea Turkey Wild Rice and Tender Beef Spinach varieties.  It can be difficult to find baby food with iron-rich beef that our baby actually likes, so we're happy with this one."
4,"If you are looking for a strong and robust cup of coffee, look no further.<br />Every time I brew a cup I get a reaction from people near by.<br />You can even run the same bag twice into one cup to get a slightly weaker cup of coffee....it's still eye opening however!<br />Brew On"
4,"I really enjoyed the Caramel Apple Pops. I also shared them with my friends and family, and they enjoyed them too.I can never find these pops in the stores."
3,"I love these cookies, they are my favorites. And the price is a good price. The packaging was very good, the original box from the manufacturer placed in an Amazon box, with all the requisite protection. I don't know what happened, but every bag that I have opened so far, contains about half full cookies, and the rest in various states of brokenness. They still taste great and I don't really mind. However, if you were giving them to someone, I think it would be somewhat disappointing."
4,I have tried this filling years ago and could not get it at our small town for years.  I am thrilled I can order it online.  Great for cheesecakes.
1,"My cats love these, so I ordered 2 boxes.  One box had been already opened & 1 package of 12 was missing.<br />Is someone in the warehouse hungry for cat food? Or maybe they needed to feed the warehouse cats, I don't know.<br />No response yet from Amazon about replacing the missing package."
3,"I'm always looking for new dog treats to keep my beagle-daschund and black lab spoiled. And although they aren't very picky about taste, I am picky about ingredients.<br /><br />The Fruitables Pumpkin and Apple treats smell great. The ingredients are simple, they're made in the USA, they contain no animal products or by-products (though that's not true for all of the treats from this company), and they don't contain many of the common allergens found in dog treats (wheat, soy, corn).<br /><br />Be aware that these treats are small (a little too small for my 90-lb lab who doesn't even realize he has eaten something when he gets one of these). And they're hard (my beagle-daschund crunches through them with a little work, but a very small dog might not be able to eat these).<br /><br />Overall, a good treat! I think the best dog treat so far, however, is The Lazy Dog Cookie Co Inc Coconut Carob Chip Pup-squeaks, which are unfortunately out-of-stock right now on Amazon. The Fruitable treats are a close second."
4,"It's hard to find a decaf English breakfast that has decent flavor.  Some of the supposedly ""naturally decaffeinated"" ones I've bought have either no flavor or have an unwelcome aftertaste.  This one has been really good flavor that is as close as I've found to the fully caffeinated version."
0,"This is not XAPP Recovery as is listed, it is XAPP Energy. The difference is that XAPP Energy contains caffeine."
4,Hands down the best popcorn you can make at home. I am convinced that the 8 oz antique popcorn cart that i purchased has paid for itself 5 times over with the savings of staying home to watch movies and have fresh popcorn at an arms reach. I hope you guys stay in business for a long time!
4,"I have two healthy male yellow labs ... and they will eat anything (and I do mean ANYTHING).  So, the issue of dog food is a little less, for lack of a better word, ""serious"" to me.  While I have generally steered away from low-cost brands of dog food for my two furry disposal systems based on  the uninformed belief that cheap=bad; I am not convinced these pricey, ridiculously named superfood brands are anything more than a gimmick.  So, I have traditionally chosen the tried-and-true brand of Purina and although PurinaONE is the staple for our dogs, BENEFUL proved to be a nice change of pace for them.  Another plus is the ""zip-loc"" type bag the food comes in.<br /><br />The biggest issue that some may have with BENEFUL is that its main protein source is ""chicken by-product"" (#2 on the ingredient list) while the more substantial protein source of beef is #7 on the ingredient list.  Animal by-products used in animal feed open the possibility of dead or diseased animals being incorporated into the mix, as well as animal parts not fit for human consumption.  The AAFCO (Association of American Feed Control Officials) is the monitoring entity for such issues and while they have green-lighted BENEFUL, there is no sure-fire way to determine what comprises chicken by-product in each and every bag of food ... this may be a deal-breaker to some.  On the other hand, most dog owners have probably seen worse things being digested by their beloved pets on a fairly regular basis.<br /><br />Another point that might be a problem for some is the use of grain fillers as the primary ingredients (#1, 3 and 4 on the ingredients list) in BENEFUL ... a likely sticking point for those who prefer ""natural"" or ""organic"" diets for their dogs.  Again, this is a personal preference issue for the pet owner.<br /><br />Both my dogs love BENEFUL, which is important to me.  For 40 years, Purina products have been a main source of food for my pets.  I have never encountered any issues with their products and believe the rational point-of-view is that pet food standards have only improved over the years.  I am also a little skeptical of the detrimental claims that generally guide people to purchase more expensive products that emphasize buzzwords like ""natural"" and ""organic"" ... as the terms can be very loosely defined and too new to earn government interference regarding their veracity.  There have been too many instances where false or unfounded claims have scared people away from a myriad of consumer products ... so I tend to take grain and by-product issues less seriously.  Obviously, dog food choice is a personal issue between owner and pet and I have no problem incorporating BENEFUL as a change of pace from the PurinaONE on occasion."
4,"I do love almost all of Annie Chun's products and this one is no exception.  I did find the chicken broth to be a bit weak for my taste, so I added a couple of shakes of Maggi Chicken Bouillon granules.  This made for a stronger chicken broth and I liked it so much more."
0,"I'm not sure what is considered Thick Select...sounds like an industry term, but I received 10 bully sticks and most of them were barely thicker than a pencil.  I don't associated pencils with being thick and these bully sticks are better suited to a Pomeranian then my German Shepherds.  I seldom complain about products but when its completely misrepresented, I have no choice but to warn others.  If there is a way to leave a picture, someone leave me a comment on how too and I will."
4,This is the third or fourth time we've hit up an Amazon Grocery sale to get these cheap.  Not too many are broken and the price is good!
4,"Love this sauce. It's fantastic in rice dishes, and as a replacement for soy sauce--much less salty."
4,"These treats went over really well with our three dogs. They're about 1 inch square pieces, so they're a good size for our larger dogs. I also really like that they have high quality ingredients and don't give our dogs the smellies like Milkbones do."
4,"Good price for a good quick meal. Only if you truly enjoy spicy, because these are very spicy. Delicious."
4,"For licorice lovers only.  Intense licorice flavor and is naturally sweet, so needs no sugar or honey.  Drinking a cup is like eating licorice for dessert, without the calories."
4,Got the 30lb bag on Amazon at $9 less than the local petstore. How excellent is that??? - Better price and good to have it delivered to my door!  My pup has been eating this premium dog food for years....it's got all the good stuff and none of the bad!
4,"These are fabulous!  I'm always looking for ways to improve the quality and health of our meals and my kids usually aren't keen on change, especially with their spaghetti.  They didn't even notice the change!  No brain fog, no yucky feeling of bloating after eating ""noodles"".  I love being able to have pasta back in my life, after all I'm Italian!"
4,"I've been taking this for over a year before going to bed and have not had any problems going to sleep or staying asleep at night since I've started taking it.  According to the experts, it's one of the most important minerals for asthmatics to take because it relaxes the bronchial tube muscles hence either eliminating or reducing bronchial tightness/restriction.  Although my asthma has been asymptomatic for quite some time, the magnesium is good to use for so many other reasons and to maintain my health.  It's also a natural laxitive and helps prevent indigestion.  This is 100% natural elemental magnesium citrate so there is no need to worry about taking in any strange chemicals as you would when taking a synthetic vitamin supplement."
4,My dog loves these treats and the 96 count box is the best deal. They come in a foil package in the box so they stay fresh till the last one.
3,"I have tried several types of Murray sugar free cookies and can say that they have all been good and the ""Fudge Dipped Mint Cookies"" are no exception. These are not quite as good as regular cookies but, being diabetic friendly, are a good alternative.<br /><br />Recommended!"
4,I orginally bought it for a type of treatment for lyme disease but I continue to use it just for the flavor. I love that it hasn't been processed to death with who knows what added to it. And the little wooden scoop is adorable!
0,DO NOT WASTE YOUR MONEY!  There are no seals around or under the lids of Ajiika spices.  The lids on 2 jars of fennel and on 2 jars of paprika came loose during shipment spilling the contents.  I do not feel safe using these products but they cannot be returned.  I'm waiting to hear from Amazon on whether or not I can at least get a refund.
4,"Was very happy when I received the Quaker Soft Baked Oatmeal Raisin Cookie in my Mom Voxbox from Influenster to try! I had seen them on commercials but never remembered to buy them when we went to the market, but I will definitely remember to buy them now!! What a delicious cookie and it is good for you too! Me and my son enjoyed our cookie with our lunch and it was a hit with both of us. It was such a soft and flavorful cookie that filled you up and left you satisfied. I will definitely be trying other varieties of the Quaker Soft Baked Oatmeal Cookies and will be recommending them to hall my friends!"
4,"My kids and even my Mom loved these snakcs.  They are not ""fruit snacks"".  They are small and look like chiclets, but the taste is good.  The texture is closer to dried fruit than traditional fruit snacks.  I also like the small serving size."
4,"These chips are great!  They look almost like a flattened rice cake, but taste so much better, more like a potato chip. The bbq flavor is delicious. They are very low in fat and full of flavor. It is easy to eat an entire bag of these!"
4,I received this tea in a house-warming basket and it is wonderful.  I could (and have) drink it all day.  I was so glad to find it on amazon but I think next time I will go straight through eurogrocer and save a couple of bucks.  But it is worth it!
0,"Let me start by saying that, unlike many other reviewers, I have absolutely no idea what kind of oil is good or bad for hair.  I have, however, always used and liked coconut oil products and, when I saw that listed as one of the ingredients (along with shea butter), I thought I would give it a try.<br /><br />I was also interested in this product more for my dry ends rather than for my scalp.<br /><br />Now, I've read many of the other reviews where they refer to this as an ""ethnic"" hair product.  I read the product description and all the information on the product itself, and don't see that anywhere.  But, since it seems to be an issue, I am mixed race with very long, fine, wavy hair.  I use no ""ethnic"" hair products and never have.<br /><br />On to the product:<br />I decided to use a very small drop of the product strictly on the ends of my hair.  The drop was smaller than a dime.  I rubbed it onto my hands and then into my hair.<br /><br />The smell was not unpleasant and didn't linger very long in my hair.<br /><br />The oil was very greasy.  It coated my hands unpleasantly and left an unpleasant sheen in my hair.  I didn't like the way that it looked so, although the instructions didn't say to do so, I brushed it in.  That made it a bit better, however my hair still looked greasy and heavy.<br /><br />The plain fact is that, like anyone else, I like my hair to look clean. Instead of imparting a healthy shine, this product made my hair look greasy and unwashed.<br /><br />Simply put, I will not be using it again."
4,I recently tried this line of breads on vacation and loved the one we tried. I couldn't find the European Cheese & Herb flavor that we had locally so I went to order from Amazon.com. As happens from time to time the seller was out of that flavor so I picked up the Potato Bread instead and it was also very good.  I still need to get the Cheese & Herb because that one was awesome.
4,I have a very old cat which has lost teeth and her appetite and it seems that this food is one that she will always eat. She was my granddaughters cat but I have had her for 3-4 years she is 14 and though thin is active and healthy .
4,"Swiss Miss Rich Chocolate hot cocoa mix is my favorite for the holiday season. I usually add my own marshmallows, and use twice the recommended amount of hot cocoa powder. Whipped cream is good too when I remember to buy it. If you can't find Rich Chocolate in the store, the other Swiss Miss options are pretty good too."
2,"I bought from this supplier because the others indicated that the remotes were also pink and light blue.  I expected this package to be all white or white and black, based on the pictures on the site and the fact that pink and light blue were not mentioned.  This is really a problem when you are having a boys party.  Now, I don't have enough to give out at the party because several are pink, so it was really a waste of money.  If you are having a party that includes girls or else boys that are so young that they don't mind pink, this is a good choice.  Otherwise, I recommend you skip it."
3,"When in doubt my daughter will aways eat sweet potatoes.  These are good.  Sweet potatoes and water.  However, they are a little runny.  I think they thin it out more than they should.  But it is ok.  Ella's is my favorite.  They have a nice thick baby food.  Earths best is my second favorite followed by Gerber."
0,Taste like I am chewing on glass. Hard and I am afraid I am going to break a tooth. Don't waste your money on this product.
2,Kicking Horse Kick Ass Dark coffee. Beans were fresh and the coffee has a very smooth flavor but I like my dark roast coffee darker/stronger flavored. Beans were not as dark or as oily as I like. Service was good and I received the order quicly.
4,My kids love this! Goes very well with tuna or cream cheese. Has a hint of oregano.
0,"I will never order this item from Amazon again!  The carton was delivered with no protective box or wrap around it.  The carton was mutilated and at least half of each bag of pretzels was smashed to crumbs.  Worst of all, this item can NOT be returned.<br />From now on, I'll buy my pretzels from Target.  They cost about 3 cents a bag more, you can buy fewer than 12 bags at a time and the pretzels come whole."
2,when I bought the product in almost mid-July.  I got it quickly enough but was not happy that I had less than a month to use a case!  There was no indication of sell date infomation in the procuct description.
4,"First time buy food from Amazon, but these are good price and yummy. We all like it, it's good to share with friends too."
3,"I really like this tea - tastes good, smells good, and makes a cozy nightcap.  I really think it works - I saw Dr. Oz recommend drinking a cup of valerian tea to help you sleep and this is much tastier than plain valerian tea. Can't find the Extra version of the Sleepytime in my stores so I will order again."
3,I have had these chips before. They are a great snack that is high in protein! I will be ordering them again soon!
4,"Purchased this food specifically because it had pumpkin in it.  Pumpkin is recommended for laxative purposes in digesting hairballs.  (Just spent a few thousand dollars having a hairball surgically removed from my 1 year old kitten.  UGH!)  Of course I cannot tell if the food is helping with that particular problem, I can tell you what I like so far.  First of all it smells 'normal'.  Not that nasty cat food smell.  Second, the top ingredients are all natural (real) foods.  You know, words I can pronounce.  The cat loves it, although since she's still young she isn't really that particular.  It has helped her digestive system in easing (not curing) constipation issues.  All in all I recommend it.  Only food I have found with the pumpkin plus it smells good and looks like what the name says it is."
4,"I received this today and was very anxious to pop open the bag and dig in.  I was a bit curious.  I am a lover of Fig Newtons, and thought this would be a fun thing to try.  By just the picture, one may wonder if the cookies would be a bit on the dry side.  I can say, enthusiastically that they are not.  Fruit Thins are delightfully crispy (not hard), they have a light sweetness, are moist (as crisp thins go) and truly mouth-wateringly tasty.  The first word to pop into my mind, after taking a bite, was a very firm ""YUM!""  The crispness combined with the chewy cranberries is positively addicting and oh-so-good.  Newtons Fruit Thins is a snack that will be loved by kids and adults alike.  Lower in fat (5 grams of fat and 140 calories per 3 cookies) than an average cookie, made with real fruit, whole grains and no high fructose corn syrup, these are the perfect solution when the sweet-tooth munchies rear it's ugly head.<br /><br />Though I'm not a huge lover of cranberry, the taste is just perfect in these thins.  There is a tasty and chewy tang provided by the cranberries that is light, not overpowering and truly lends a great amount of flavor and texture to these thins.  Please note that there are additional flavors available in the Newtons Fruit Thins line, including: Blueberry Brown Sugar, Fig and Honey, and Raspberry Chocolate.  I have not tried any other flavor except the Cranberry Citrus Oats, but truly plan to.  I loved these and highly recommend them!!"
0,"Over the years my parents would send me to school and I was just fine until usually either lunch or a snack time with the school or a well-meaning room parent providing grape or fruity colored sugary drinks... or bright colorful candies.. or maybe mom splurged on those bright colorful cereals for breakfast. YUM!  Every kids dream, right?<br /><br />Well each  time I consumed some of these brightly colored cereals or pastries or drinks or candies, over the next few hours I would develop at least mild stomach pain. The deeper the color or the more I consumed, the worse the experience. Eventually it ended with me locked in the bathroom, doubled over in pain, for hours on end, as perplexed school officials called my parents to come get me, as I was AGAIN being sent home from school.  I was soo embarrassed. Pity the few subs who refused me a hall pass - I remember vomiting at my desk more than a few times to the stunned sub who hadn't realized how seriously I had GI issues. If I say I need a hall pass, I meant I *needed* a pass.<br /><br />Growing up as a teenager, dad remarried and my stepmother didn't buy much colorful ""kids"" drinks n such anymore. Wow, what a change, I even managed a year of perfect attendance! Me?! The kid who averaged 20+ days out sick from school had perfect attendance! My grades improved! I felt better....<br /><br />Then as a young adult, I was trying to kick the soda bucket and went back to the colorful sugary drinks of my youth. The abdominal pain and diarrhea was unreal. I began missing some college classes and my grades slipped. I was having some difficulty at work with a male boss who did not understand, he even implied I was lazy. Really? I was going to college full-time while working in a factory with forced overtime and tutoring on the side. It wasn't my fault I had a sensitive stomach....<br /><br />...until one day I was at home with one of the really bad episodes, doubled over in pain with diarrhea again and it suddenly hit upon me. GRAPE KOOL-AID.  I had consumed a whole pitcher of GRAPE KOOL-AID that day before getting ready for work (2nd shift). I read through the label... RED 40 and BLUE 1 stuck out...  so I stooped drinking grape Kool-Aid and went back to Pepsi for awhile. Symptoms stabilized... until one day when I had a tuna lunchable. A small attack convinced me to read labels- there was BLUE 1 again.<br /><br />I was 25 years old when I made the ""BLUE 1 DISCOVERY"". I am now in my 40s. I have since learned to avoid lotions, mouthwash, dish soap, GRAPE KOOLAID and even ""white marshmallows"".  Since learning to avoid BLUE 1 including GRAPE KOOL-AID my life has significantly improved.<br /><br />I discovered very serious and relevant information about BLUE 1 from the FDA website... the term ""BLUE 1"" and ""causally linked to fatalities"" was significant enough for me that I wrote to the medical doctor who issued the press release; we shared a number of interesting email exchanges.<br /><br />I  have learned some ""natural"" brands of ""children's cereals"" are made with elderberry juice for coloring. I wish KOOL-AID would change to natural colors! (If using colors at all...) Oh and I kicked the soda bucket, too. I learned what fresh squeezed lemons mixed in a glass of water with d-ribose could do for both taste AND for energy. I feel so much better!"
4,"Mmmmmmm!!! Crunchy!!! It was getting harder to find these in stores near where I live. This 24 count of 4 oz packs will keep me munching for a good while. If you've never tried them, you're missing out. Please note the warning on the product that due to their size, this snack is not for children under 3."
1,I found this coffee very weak - I had to lower the cup size to get some flavor.  I would not order this again.
4,"I've been feeding my cat this food for the past year and she loves it. She hasn't gotten sick from it or shows any signs of being sick. A few weeks ago she got a clean bill of health from the vet, so I know there is nothing in this food that is potentially harmful. I really like this food, and the fact that is doesn't have any animal by-products is a plus. I would recommend Newman's Own Dry Cat Food."
2,"Well, it's a certain time of cookie season and little girls are sitting at a table in the entrance of my favorite grocery store. I love these cookies, especially a certain chocolate covered peanut butter cookie. I'm trying to save money. Trying to save calories. What do I do? I sneak in the opposite entrance like a coward.<br /><br />Enter Oreo Peanut Butter Fudge Creme cookie. Now, subtract a bit of peanut butter and this cookie and it tastes like a thinner version of the Girl Scout cookie I've loved since childhood. The downside is that the price is higher than those from my favorite annual cookie peddlers.<br /><br />My final verdict. Semi-Delicious cookie. Bad price. Next year I'll go with the Girl Scout version."
0,"I was very unhappy to see that half of the cans in the package were not the brand that I ordered but Instead were unnamed cans that just read ""96% beef"".  I've ordered this product before and it was fine, but this time was very disappointing."
4,"I was SO EXCITED to discover a way to decrease the sugar content in icing/frosting...I have a wholesome baking company and now feel a bit better about offering products I do with glaze or frosting - this isn't as low calorie as the regular or brown ideal, but still way lower (344 cals per cup vs. about 768 cals per cup of regular powdered sugar)...I would recommend half and half for icing - a different taste slightly than reg., but NOT bitter at all...Even at half and half you'd be at 550 cals per cup... if using a drizzle of glaze, could go with just this product...mixed it with milk, vanilla, and dark unsweetened cocoa powder - YUM!"
3,"This is great flour but who in their right mind would pay $54 for 30lbs of flour, plus another $45 for shipping? You can buy a 5lb bag of this flour at any grocery store for less than $4."
3,"Hi. I had to amend a previous review for this item because I only gave it 2 stars back in July 27, 2009.<br /><br />I've decided to give the chips another try, and after eating them for about a month now. I'm used to the taste now. Because of a few health issues I had to change my entire diet around by incorporating more low sodium or salt free items. I've noticed that since doing this I can actually taste the flavor in these chips. I can taste the corn and it's really good. I also like eating them with homemade salsa. That gives them a extra bit of kick while adding flavor and texture.<br /><br />So since I couldn't adjust my star rating from 2 to 4 I just deleted my previous comment altogether. These aren't for people who are use to a ton of sodium in their snack treats, but give them a chance and help your heart while you're doing this."
3,I would say the gefilte fish is five stars quality but one bottle was broken. I left massage to amazon packing people but with on response to me. As I did not know it was broken so the fish source was dropping around on my carpet upon my kitchen. This packing was so out of my imagination. It was over sized box without a proper cushioning. So the cans and glass bottles in conjunction to empty space composed a perfect rattling. My lesson to learn here was that I shall never combine the glass bottle and can in one order.
4,"I have used this product for many years, and find it to be the most flavorful,and the purest vanilla available on the market today.<br /><br />Compare cookies made with this vanilla, and the same cookies made with grocery store vanilla. You will be unable to miss the superior quality!<br /><br />It can be quite expensive, but this pack of 8 bottles is nicely priced...PLUS- it qualifies for free PRIME 2nd day shipping!"
4,"I purchased the black garlic to see if it would lower my cholesterol as touted by Dr. OZ. I've been taking it now for quite sometime and have to admit, its working. Granted, I'm doing other stuff like no fried foods and the like but my level has been lowered 20 points. I started to give this product a lower rating due to the fact you have to peel the garlic before use. It's a messy process but its one I chose and its not the sellers fault. Just the way it is. Next time I plan on ordering black garlic already cleaned. You folks with high cholesterol should give it a try, you just might be surprised. Oh by the way, if you try this garlic, remember what it is. Its garlic that's been fermented, so don't expect a flavor of ice cream and be sure to have something to wash it down. Pretty tough stuff. No wonder it works. Tastes like medicine."
4,This granola tastes great on it's own as well as being used as cereal. You can taste the honey slightly but it is not too much or too little. This is great if you are trying to change your snacks to a healthier substitute.
4,This product arrived on time.  My wife loves these but they are sometimes hard to find in the stores.  Costco offers them for less when they have them which is not often.
4,My husband pays a lot of attention to what he has every day. He really likes them as snacks during work breaks or before workouts.
3,This product was a nice find.  You still get the protein of peanuts but dont get so much fat.  I found that it really works nice in receipies and is much easier to mix into things rather than regular peanut butter.<br /><br />It is a little expensive so I would like to be able to get a better deal if you bouht two or three at a time though.
1,"Unless the purpose of this cereal is that it be a vehicle for milk, I'm confused as to why anyone would choose this over a healthier, less sugary breakfast food.  The first ingredient is chocolate filling, and the filling's first ingredient is sugar.  Then the next ingredient is sugar.  You get the idea.<br />By making the ""serving size"" 3/4 cup, a ""serving"" of this cereal is only 120 calories, but clearly most bowls would hold twice that, at least, and most of them are from the sugar--there is almost no protein in this cereal.  The impressive array of vitamins and minerals could be obtained from a less-sweet enriched cereal or a one-a-day vitamin pill."
4,My 2 boxers loved these bones. The only negative is that the bones don't last long. My dogs ate them up in 1 day....better stock up!
4,"Muir Glen's Cabernet Marinara is one of the best pasta sauces around. While pasta sauces tend to be sweet, this one is savory with its Cabernet undertone. One wonders if this marinara could be even more Italianate with Sangiovese, Barbera, or a Super Tuscan blend. It's a rich sauce,and would be a great contrast to a cucumber salad with a vinegar sauce. This Cabernet marinara also pairs well with Parmesan. This sauce serves as a template--one could add chicken, tuna,sausage. It's very versatile. This Washingtonian sauce gives a taste of the Wine Country!"
